policy_id,country_iso,country_update,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,last_update,impact_indicators.comments,impact_indicators.name,impact_indicators.value,impact_indicators.base_year,impact_indicators.target_year
211000102,KOR,Annual,"Act on the Promotion of the Development, Use and Diffusion of New and Renewable Energy Republic of Korea (2004)","Act on the Promotion of the Development, Use and Diffusion of New and Renewable Energy",Country,,"Republic of Korea",,,"Green certificates, Policy support, Institutional creation, Regulatory Instruments, Sectoral standards, Technology deployment and diffusion, Technology development","Electricity and heat, Industry, Renewables",Legislative,Renewables,,"In force",2004,,,High,Mitigation,https://www.ecolex.org/details/legislation/act-on-the-promotion-of-the-development-use-and-diffusion-of-new-and-renewable-energy-lex-faoc070352/,,,,,,
211000099,KOR,Annual,"Act on the Creation and Facilitation of Use of Smart Grids Republic of Korea (2011)","Act on the Creation and Facilitation of Use of Smart Grids",Country,,"Republic of Korea",,,"Infrastructure investments","Electricity and heat",Legislative,"Renewables, Energy efficiency",,"In force",2011,,,Unknown,Mitigation,eng.me.go.kr/eng/file/readDownloadFile.do?fileId=97309&fileSeq=1,,,,,,
211002808,KOR,Annual,"Sustainable Transportation Logistics Development Act Republic of Korea (2009)","Sustainable Transportation Logistics Development Act",Country,,"Republic of Korea",,,"Information and education, Strategic planning, Regulatory Instruments","Transport, General",Legislative,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Non-energy use",,"In force",2009,,,Unknown,Mitigation,https://elaw.klri.re.kr/eng_mobile/viewer.do?hseq=48738&type=sogan&key=4,,,,,,
211001379,KOR,Annual,"GreenHouse Gas(GHG) Target Management system Republic of Korea (2010)","GreenHouse Gas(GHG) Target Management system",Country,,"Republic of Korea",,,"Regulatory Instruments",Buildings,,"Energy efficiency",,Ended,2010,2010,2012,Unknown,Mitigation,http://www.mofa.go.kr/eng/wpge/m_5655/contents.do,,,,,,
211001229,KOR,Annual,"Fuel Efficiency Targets Republic of Korea (2009)","Fuel Efficiency Targets",Country,,"Republic of Korea",,,Target,"Transport, Heavy-duty vehicles, Light-duty vehicles",,"Energy efficiency",,Ended,2009,,2015,Unknown,Mitigation,https://www.greencarcongress.com/2009/07/s-korea-20090706/comments/,,,,,,
211002142,KOR,Annual,"Nonroad vehicles emissions standards Republic of Korea (2006)","Nonroad vehicles emissions standards",Country,,"Republic of Korea",,,"Vehicle fuel-economy and emissions standards","Transport, Heavy-duty vehicles",,"Non-energy use",,"In force",2006,,,Unknown,"Air pollution",http://transportpolicy.net/index.php?title=South_Korea:_Nonroad:_Emissions,,,,,,
211001706,KOR,Annual,"Livestock Manure Management and Regulations Republic of Korea (2007)","Livestock Manure Management and Regulations",Country,,"Republic of Korea",,,"Sectoral standards, Other mandatory requirements","Agriculture and forestry, Agricultural CH4",,"Energy service demand reduction and resource efficiency, Non-energy use",,"In force",2007,,,Unknown,Mitigation,http://unfccc.int/resource/docs/natc/kornc3.pdf,,,,,,
211001833,KOR,Annual,"Minimum Energy Performance Standard (MEPS) Republic of Korea (2010)","Minimum Energy Performance Standard (MEPS)",Country,,"Republic of Korea",,,"Performance label, Product standards","Buildings, Appliances",,"Energy efficiency",,"In force",2010,2010,,Unknown,Mitigation,http://unfccc.int/resource/docs/natc/kornc3.pdf,,,,,,
211001485,KOR,Annual,"Incentives for Voluntary Emissions Reductions Republic of Korea (2005)","Incentives for Voluntary Emissions Reductions",Country,,"Republic of Korea",,,"Fiscal or financial incentives, Voluntary approaches","Industry, Electricity and heat",,"Renewables, Energy efficiency",,Planned,2005,,,Unknown,Mitigation,,,,,,,
211000833,KOR,Annual,"Emissions Trading Scheme Republic of Korea (2015)","Emissions Trading Scheme",Country,,"Republic of Korea",,,"Market-based instruments, GHG emission reduction crediting and offsetting mechanism, GHG emissions allowances, CO2 taxes","Industry, Electricity and heat, Buildings, Transport, Air, Agriculture and forestry","Emission trading system in place to achieve pledge (30% reduction below BAU by 2020) and the INCD target (37% reduction against BAU by 2030). The current ETS with the target year 2020 covers all installations in the industrial and power sectors with annual emissions higher than 25 ktCO2e (60% of the total emissions according to EDF and IEATA (2015)). The ETS system does cover both direct and indirect emissions (emissions electricity use). In Phase I of the ETS (2015–2017) the absolute emissions cap will decrease from 573 MtCO2ee in 2015, to 562 MtCO2ee in 2016 and 551 MtCO2ee in 2017 (Carbon Market Watch, 2015).
The ETS covers 610 of the country’s largest emitters, which account for ~70% of national GHG emissions. It covers direct emissions of six Kyoto gases, as well as indirect emissions from electricity consumption.
Target
- No reduction until 2018
- 2018 - 2030 (planned) 37% reduction relative to national BAU","Energy service demand reduction and resource efficiency, Renewables, Energy efficiency, Other low-carbon technologies and fuel switch",,"In force",2015,2015,2025,High,Mitigation,https://icapcarbonaction.com/en/?option=com_etsmap&task=export&format=pdf&layout=list&systems[]=47,,,,,,
211001451,KOR,Annual,"Hydrogen and Fuel Cell Automobiles Research Republic of Korea (2003)","Hydrogen and Fuel Cell Automobiles Research",Country,,"Republic of Korea",,,"Research & Development and Deployment (RD&D), Institutional creation",Transport,,Renewables,,"In force",2003,,,Unknown,Mitigation,,,,,,,
211001230,KOR,Annual,"Fuel Efficiency labelling Republic of Korea (1988)","Fuel Efficiency labelling",Country,,"Republic of Korea",,,"Performance label","Transport, Light-duty vehicles",,"Energy efficiency, Renewables",,"In force",1988,,,Unknown,Mitigation,https://www.iea.org/policies/68-vehicle-energy-efficiency-labeling-and-standard?page=3&region=Asia%20Pacific&sector=Transport%2CHeating%20and%20Cooling%2CMulti-sector&status=In%20force&type=Grants%2Fsubsidy%2CInformation%20and%20education,,,,,,
211002342,KOR,Annual,"Promotion of Hybrid and Fuel-Cell Powered Vehicles Republic of Korea (2005)","Promotion of Hybrid and Fuel-Cell Powered Vehicles",Country,,"Republic of Korea",,,"Economic instruments, Information and education, Policy support, Research & Development and Deployment (RD&D)","Transport, Light-duty vehicles, Heavy-duty vehicles, Low-emissions mobility",,"Energy efficiency",,Planned,2005,2006,,Unknown,Mitigation,,,,,,,
211001555,KOR,Annual,"Introduction of a Domestic Emissions Trading Scheme Republic of Korea (2002)","Introduction of a Domestic Emissions Trading Scheme",Country,,"Republic of Korea",,,"Market-based instruments","General, Electricity and heat, Industry, Transport, Agriculture and forestry",,"Energy service demand reduction and resource efficiency, Renewables, Energy efficiency, Other low-carbon technologies and fuel switch, Non-energy use",,Superseded,2002,,,Unknown,Mitigation,,,,,,,
211001702,KOR,Annual,"Light-duty vehicles emissions standards Republic of Korea (2014)","Light-duty vehicles emissions standards",Country,,"Republic of Korea",,,"Vehicle fuel-economy and emissions standards","Transport, Light-duty vehicles","Euro 6 since 2014","Non-energy use",,"In force",2014,,,Unknown,"Air pollution",http://transportpolicy.net/index.php?title=South_Korea:_Light-duty:_Emissions,,,,,,
211002055,KOR,Annual,"National Strategy for Green Growth Republic of Korea (2009)","National Strategy for Green Growth",Country,,"Republic of Korea",,,"Climate strategy, Formal & legally binding climate strategy",General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,"In force",2009,,,Unknown,Mitigation,https://www.unescap.org/sites/default/files/35.%20CS-Republic-of-Korea-National-Strategy-for-Green-Growth-and-Five9Year-Plan.pdf,,,,,,
211003294,KOR,Annual,"Carbon Sink Act Republic of Korea (2013)","Carbon Sink Act",Country,,"Republic of Korea",,,"Strategic planning","Agriculture and forestry","""The goal of the Act is to become a low carbon society and responding to climate change by maintaining and improving the carbon absorption function of forests. The act is continuously amended for the duties of the Forest Carbon Center and to improve timber
use."" (See below for reference)","Non-energy use",,"In force",2013,,,Unknown,Mitigation,https://www.un.org/esa/forests/wp-content/uploads/2020/02/Republic-of-Korea.pdf,,,,,,
211003285,KOR,Annual,"Hydrogen Economy Roadmap 2040 Republic of Korea (2019)","Hydrogen Economy Roadmap 2040",Country,,"Republic of Korea",,,"Strategic planning, Infrastructure investments","Transport, Low-emissions mobility, Industry, Electricity and heat, Buildings","""The Roadmap outlines goal of producing 6.2 million fuel cell electric vehicles and rolling out at least 1200 refilling stations by 2040. Additionally, the plan aims to roll out on the street at least 35 hydrogen buses in 2019 ramping this number up to 2000 by 2022 and 41000 by 2040. In terms of the energy sector, the roadmap outlines an objective to supply 15 GW of fuel cell for power generation by 2040."" (see reference below)
In addition, the government plans to have 10% of the cities, counties and towns running on hydrogen by 2030. (http://www.koreaherald.com/view.php?ud=20191010000806) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Other low-carbon technologies and fuel switch",,"In force",2019,,,High,Mitigation,https://www.iea.org/policies/6566-korea-hydrogen-economy-roadmap-2040?country=Korea&qs=korea,,"Low-emissions vehicle (million), Capacity of renewables (MW), Capacity of renewables (MW), Share of renewables(Mt/year), Hydrogren price (KRW/kg): value 3000, target 2040","Vehicle emissions standards (gCO2/km), Capacity of renewables (MW), Capacity of renewables (MW), Share of renewables (%)","2.9, 8000, 2100, 5.25",", , ,","2040, 2040, 2040, 2040"
211003261,KOR,Annual,"Individual Consumption Tax Republic of Korea (1976)","Individual Consumption Tax",Country,,"Republic of Korea",,,"Energy and other taxes","Transport, Buildings","Original title: ?????. Applies to liquid, gaseous and solid fossil fuels. As of 1 January 2019, the rates are: Gasoline and similar alternatives
475 won/liter; Light oil and similar alternatives: 340 won/liter; Kerosene and similar alternatives: 90 won/liter; Heavy oil and similar alternatives: 17 won/liter. Originally ""Special Consumption Tax Act"" from 1976, the name has been changed on 1 January 2008.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,"In force",1976,,,Unknown,Mitigation,https://www.oecd.org/tax/tax-policy/taxing-energy-use-korea.pdf,,,,,,
211002894,KOR,Annual,"The Regulation on Pilot Projects of Forest Carbon Offset Program Republic of Korea (2010)","The Regulation on Pilot Projects of Forest Carbon Offset Program",Country,,"Republic of Korea",,,"GHG emission reduction crediting and offsetting mechanism","Agriculture and forestry, Forestry","The Regulation on Pilot Projects of Forest Carbon Offset Program has been enacted to establish a legal basis for the initiative and an operating system for future pilot projects has been developed. (Source: http://unfccc.int/resource/docs/natc/kornc3.pdf)","Energy service demand reduction and resource efficiency, Non-energy use",,Unknown,2010,,,Unknown,Mitigation,http://unfccc.int/resource/docs/natc/kornc3.pdf,,,,,,
211003288,KOR,Annual,"Charging Stations Target Republic of Korea (2016)","Charging Stations Target",Country,,"Republic of Korea",,,"Infrastructure investments, Strategic planning","Transport, Low-emissions mobility","The government announced targets regarding EVs and charging stations: 200,000 EVs and 1,4000 charging stations by 2020. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Other low-carbon technologies and fuel switch",,Ended,2016,,2020,Unknown,Mitigation,https://www.iea.org/policies/2859-charging-stations-target?country=Korea&qs=korea,,,,,,
211002076,KOR,Annual,"National Utilities Invest in Renewable Energy Republic of Korea (2005)","National Utilities Invest in Renewable Energy",Country,,"Republic of Korea",,,"Direct investment, Policy support, Voluntary approaches","Electricity and heat, Renewables",,Renewables,,"In force",2005,,,Unknown,Mitigation,,,,,,,
211001069,KOR,Annual,"Establishment of Green Villages Republic of Korea (2003)","Establishment of Green Villages",Country,,"Republic of Korea",,,"Economic instruments, Regulatory Instruments",Buildings,,"Renewables, Energy efficiency",,"In force",2003,,,Unknown,Mitigation,https://www.oecd.org/korea/49330153.pdf,,,,,,
211003293,KOR,Annual,"Second Comprehensive Plan for Improvement of Carbon Sinks Republic of Korea (2018)","Second Comprehensive Plan for Improvement of Carbon Sinks",Country,,"Republic of Korea",,,"Strategic planning","Agriculture and forestry","Plan to manage forestry and its capacity to perform as a carbon sink.","Non-energy use",,"In force",2018,,,High,Mitigation,https://www.un.org/esa/forests/wp-content/uploads/2020/02/Republic-of-Korea.pdf,,,,,,
211000331,KOR,Annual,"Building Energy Code (Building Standards - New Building) Republic of Korea (2003)","Building Energy Code (Building Standards - New Building)",Country,,"Republic of Korea",,,"Building codes and standards","Buildings, Heating and cooling, Hot water and cooking, Construction","Requiring thermal insulation performance improvement by 25.8% for buildings with floorarea larger than 500 square meters. The property owner should submit Building Energy Code Compliance when applying for building permits of new buildings with gross area greater than 500 m2 pursuant to the Building Design Standards for Energy Saving (the Notification of the Ministry of Land, Infrastructure and Transportation) and Green Building Promotion Act.","Energy efficiency, Renewables, Non-energy use",,"In force",2003,,,unclear,Mitigation,https://www.pnnl.gov/main/publications/external/technical_reports/PNNL-17851.pdf,,,,,,
211002560,KOR,Annual,"Report on Amount of Energy Use Republic of Korea (1999)","Report on Amount of Energy Use",Country,,"Republic of Korea",,,"Policy support","Electricity and heat, Industry",,"Energy efficiency, Renewables",,Ended,1999,,2014,Unknown,Mitigation,http://bpms.kemco.or.kr/DeclareN2012/Index/DeclareN/Main01_1.aspx,,,,,,
211001475,KOR,Annual,"Import tax reduction for renewable energy products Republic of Korea (2009)","Import tax reduction for renewable energy products",Country,,"Republic of Korea",,,"Tax relief","Electricity and heat, Renewables",,Renewables,,Ended,2009,2009,2013,Unknown,Mitigation,https://www.iea.org/policies/4812-import-tax-reduction-for-renewable-energy-products?country=Korea&page=2&qs=korea,,,,,,
211000189,KOR,Annual,"Amendment of the Promotion Act for NRE Development, Utilization and Dissemination Republic of Korea (2004)","Amendment of the Promotion Act for NRE Development, Utilization and Dissemination",Country,,"Republic of Korea",,,"Regulatory Instruments, Renewable energy target, Formal & legally binding renewable energy target","Electricity and heat, Renewables","RE shall provide 5% of Korean energy demand by 2011. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,Ended,2004,2004,2011,Unknown,Mitigation,https://www.iea.org/policies/4836-act-on-the-promotion-of-the-development-use-and-diffusion-of-new-and-renewable-energy?country=Korea&page=2&qs=korea,,,,,,
211002539,KOR,Annual,"Renewable Power Generation Subsidy Republic of Korea (2002)","Renewable Power Generation Subsidy",Country,,"Republic of Korea",,,"Grants and subsidies","Electricity and heat, Renewables",,Renewables,,Superseded,2002,,,Unknown,Mitigation,https://www.iea.org/policies/3821-renewable-power-generation-subsidy?page=7&region=Asia%20Pacific&sector=Non-residential%2CBuildings%2CElectricity&type=Building%20codes%20and%20standards%2CFiscal%2Ffinancial%20incentives,,,,,,
230206123,KOR,Annual,"Food and Rural Affairs’ Business Plan Republic of Korea (2022)","Food and Rural Affairs’ Business Plan",Country,,"Republic of Korea",,,"Policy support, Strategic planning, Target","Agriculture and forestry","This policy sets out a target to reduce GHG emissions from Agriculture to below 18.0 MtCO2e by 2030 and 15.3 MtCO2e by 2050, compared to 20.4 MtCO2e in 2017.","Non-energy use",,"In force",2022,,,High,Mitigation,https://newclimate.org/sites/default/files/2022-10/EC-PBL2022_CurrentPolicies_Oct22.pdf,25/01/2023,,,,,
211001374,KOR,Annual,"Green building master plan Republic of Korea (2014)","Green building master plan",Country,,"Republic of Korea",,,"Strategic planning, Energy efficiency target",Buildings,"""The Korean government announced its first green building master plan in Decemember 2014, which includes a five-year plan containing strategies for promoting the development of green buildings. By 2020, the government expects this plan to reduce the country's production of GHG in the buildings sector by 26.9%"" (Park et al, 2015). This target is also mentioned in the Greenhouse Gas Reduction Road Map (roadmap to 2020, soon to be updated)
Target
- 26.9% reduction in buildings sector relative to BAU by 2020","Energy efficiency, Renewables",,Ended,2014,2014,2020,Unknown,Mitigation,www.mdpi.com/2071-1050/7/12/15804/pdf,,,,,,
